model,mse,mae,r2
linear,2593.3569463880767,40.726120493205556,-240.98906140096759
linear,4386.942999892664,48.63919307773626,-396.78442920683926
linear,2671.050219008784,40.22934335380739,-252.67823375183528
linear,4926.532750880371,52.32409618187687,-479.5340750862877
linear,2854.608775893642,42.090570255956116,-274.78142838237994
randomforest,8.710706921487603,2.2876342975206616,0.18719411340367575
randomforest,10.07152200413223,2.454514462809917,0.08676847824193656
randomforest,9.707454338842975,2.40297520661157,0.07805182643921782
randomforest,9.013452272727271,2.351363636363636,0.12082773621358756
randomforest,9.17493588417787,2.342419855222337,0.1136169184293151
svm,11.875432321336504,2.5369066865942664,-0.10810998276706263
svm,12.670330621582403,2.630108601780205,-0.14887752913393415
svm,11.453562248320075,2.4954976691750077,-0.08778166005383548
svm,10.918629646370425,2.458775227546395,-0.06500329210046063
svm,11.7817938308015,2.544101516824936,-0.1382295041631334
