Experiment,Created,Number of Documents,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,step,Coherence,Perplexity,RANDOM_SEED,train_data_path,test_data_path,procd_text,extract_sample.fraction,extract_sample.stratify_column,feature_engineering.bow,feature_engineering.tfidf,feature_engineering.ngram,feature_engineering.bert,feature_engineering.bert_pretrained_model,clustering_bert.algorithm,clustering_bert.num_clusters,clustering_bert.eps,clustering_bert.min_samples,topic_modeling.feature,topic_modeling.algorithm,topic_modeling.cluster,topic_modeling.num_topics
dizzy-pant,09:32 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.37707639081131605,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,False,20.0
finny-abac,09:31 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4075720449382628,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,False,18.0
lucky-door,09:24 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3941704553876426,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,False,16.0
stony-tomb,09:21 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3843887962891886,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,False,14.0
slant-colt,09:14 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3819371725082499,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,False,12.0
smart-lira,09:12 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3970617788771257,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,True,20.0
freer-quay,09:03 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.39654629101994016,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,True,18.0
quare-mice,08:57 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.38340575463810256,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,True,16.0
sooth-rift,08:49 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3913198776417518,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,True,14.0
pesky-hard,08:45 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.39561074152696873,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,nmf,True,12.0
platy-pans,08:33 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.6076574180092305,-20.572461470686964,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,lda,False,20.0
paler-erns,08:30 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.6064924518221582,-19.55718122264766,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,lda,False,18.0
snowy-rods,08:23 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.6327161353791932,-18.489108953388754,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,lda,False,16.0
twill-prof,08:20 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.5993451341075708,-17.492851088384715,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,lda,False,14.0
peaky-sing,08:12 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.5511774924548976,-19.64098760974093,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,tfidf,lda,True,20.0
